Time,"Bat_voltage {device=""470023670"", name=""V""}","Bat_current {device=""470023670"", name=""V""}","Bat_A {device=""mppt-1210-hus"", name=""A""}","Bat_V {device=""EA-EL-3060"", name=""V""}","Bat_V {device=""mppt-1210-hus"", name=""V""}"
1622238915000,12.909520149231,-1.01892745494843,-1.03,12.85,12.85
1622238991000,12.9091825485229,-1.0211193561554,-1.03,12.85,12.84
1622239085000,12.9028053283691,-1.02418291568756,-1.03,12.8375,12.83
1622239176000,13.7568883895874,1.11334156990051,1.2,0,13.78
1622239252000,13.799111366272,0.437540471553803,0.42,0,13.78
1622239343000,13.8383808135986,0.117435522377491,0.43,0,13.77
1622239440000,13.8153600692749,0.374224781990051,0,0,0
1622239521000,13.8112964630127,0.367806881666183,0.69,0,13.8
1622239596000,13.8132886886597,0.39311221241951,0.69,0,13.81
1622239667000,13.7906608581543,0.363956153392792,0.68,0,13.81
1622239728000,13.7894792556763,1.08489942550659,0.37,0,13.78
1622239799000,13.82239818573,0.723339021205902,0.39,0,13.78
1622239860000,13.7924757003784,0.670095920562744,0.11,0,13.75
1622239931000,13.7986698150635,0.3403659760952,0.38,0,13.77
1622240012000,13.8196067810059,0.380560040473938,0.39,0,13.78
1622240089000,13.8173427581787,0.386959433555603,0.39,0,13.78
1622240181000,13.7857704162598,0.672528684139252,0,0,0
1622240247000,13.8214540481567,0.374690860509872,0.38,0,13.78
1622240308000,13.8146944046021,0.646823823451996,0.1,0,13.75
1622240379000,13.8093338012695,0.075845673680306,0.09,0,13.75
1622240445000,13.805459022522,0.061577141284943,0.35,0,13.79
1622240511000,13.8005867004395,0.043726675212383,0.08,0,13.76
1622240573000,13.824896812439,0.350195646286011,0,0,0
1622240634000,13.8300380706787,0.649966835975647,0,13.85625,0
1622240695000,13.8278141021729,0.351549506187439,0,13.84375,0
1622240761000,13.8241567611694,0.344894856214523,0.34,13.83125,13.79
1622240832000,13.8314189910889,0.341925740242004,0.33,13.825,13.79
1622240905000,13.8191633224487,0.041977014392614,0.31,13.84375,13.78
1622240971000,13.6408386230469,0.003035701112822,0,0,0
1622241042000,13.5535650253296,0.002172585576773,0.01,13.55625,13.51
1622241113000,13.5063056945801,-0.002193209016696,0,13.51875,0
1622241174000,13.4775590896606,0.001347693498246,0,13.49375,0
1622241248000,13.4581365585327,0.001995030324906,0,13.475,13.42
1622241320000,13.2415466308594,-0.992856681346893,-1.03,0,13.16
1622241386000,13.0693893432617,-0.982657492160797,-1.03,13,12.98
1622241465000,13.0186576843262,-0.990853309631348,-1.03,12.94375,12.94
1622241526000,12.9923667907715,-0.984883964061737,0,12.925,0
1622241602000,12.9643697738647,-0.993537187576294,-1.03,12.9,12.89
1622241663000,12.9422130584717,-0.986221611499786,0,12.88125,0
1622241736000,12.9255323410034,-0.992750644683838,-1.03,0,12.86
1622241798000,12.7430152893066,-2.87768483161926,-3,12.53125,12.59
1622241865000,12.7066516876221,-2.88036131858826,-3,12.5,12.55
1622241937000,12.6948881149292,0,-3,0,12.54
1622242008000,12.6926612854004,-2.86981081962585,-3,12.48125,12.54
1622242075000,12.6854753494263,-2.87889313697815,-3,12.48125,12.53
1622242141000,12.680757522583,-2.87790679931641,-3,12.46875,12.52
1622242202000,12.6737298965454,-2.88155841827393,-3,12.45625,12.51
1622242273000,12.6569747924805,-2.87275862693787,-3,12.4375,12.5
1622242339000,12.631498336792,-2.87911510467529,-3,12.425,12.48
1622242406000,12.6224756240845,-2.88017392158508,-3,12.41875,12.48
1622242477000,12.6128873825073,-2.88444828987122,-3,12.39375,12.46
1622242554000,12.5905570983887,-2.87282252311707,-3,12.375,12.45
1622242625000,12.5828609466553,-2.88435339927673,-3,12.3625,12.43
1622242691000,12.5663652420044,-2.88102841377258,-3,12.35,12.41
1622242762000,12.5533571243286,-2.88309717178345,-3,12.34375,12.4
1622242823000,12.5439958572388,-2.87421584129333,-3,12.33125,12.39
1622242891000,12.5391502380371,-2.87283492088318,0,12.33125,0
1622242957000,12.5306987762451,-2.87520694732666,-3,12.31875,12.38
1622243019000,12.5268716812134,-2.87555694580078,0,12.3125,0
1622243089000,12.5231504440308,-2.87106466293335,-3,12.3125,12.37
1622243165000,12.5102033615112,-2.87857985496521,-3,12.3,12.36
1622243226000,12.4994316101074,-2.87392234802246,-3,12.2875,12.35
1622243287000,12.4963693618774,-2.88467502593994,-3.01,12.2875,12.35
1622243348000,12.4919128417969,-2.88227105140686,-3,12.275,12.34
1622243409000,12.4852571487427,-2.87605762481689,-3,12.26875,12.33
1622243470000,12.4755487442017,-2.88280725479126,-3,12.26875,12.33
